© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	IPA-Sarah
Analysis	Newborns-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:37:18 PST 2017
Analysis ID	15776117

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->IPA-Sarah->Newborns-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	expansion	Expansion of granulocyte-macrophage progenitor cells	6.35E-03	 	 	 	 	RUNX1	1	
Cancer, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	familial platelet disorder with predisposition to acute myelogenous leukemia	Familial platelet disorder with predisposition to acute myelogenous leukemia	6.35E-03	 	 	 	 	RUNX1	1	
Lymphoid Tissue Structure and Development	frequency	Frequency of memory B cells	6.35E-03	 	 	 	 	TNFSF13B	1	
Cell Death and Survival, Nervous System Development and Function, Tissue Morphology	loss	Loss of mesencephalic neurons	6.35E-03	 	 	 	 	CASP8	1	
Cancer, Organismal Injury and Abnormalities	malignancy	Malignancy of acute leukemia cells	6.35E-03	 	 	 	 	RUNX1	1	
Cancer, Organismal Injury and Abnormalities	metastasis	Metastasis of neuroblastoma cell lines	6.35E-03	 	 	 	 	CASP8	1	
Cellular Movement, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking	migration	Migration of plasma cells	6.35E-03	 	 	 	 	TNFSF13B	1	
Cell Cycle	mitogenesis	Mitogenesis of pancreatic cancer cell lines	6.35E-03	 	 	 	 	PTPRN2	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	production	Production of myeloid progenitor cells	6.35E-03	 	 	 	 	RUNX1	1	
Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of B lymphoblasts	6.35E-03	 	 	 	 	TNFSF13B	1	
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	quantity	Quantity of granulocyte progenitors	6.35E-03	 	 	 	 	RUNX1	1	
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	quantity	Quantity of short-term hematopoietic stem cells	6.35E-03	 	 	 	 	RUNX1	1	
Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of transitional type 3 B lymphocytes	6.35E-03	 	 	 	 	TNFSF13B	1	
Cellular Assembly and Organization, Cellular Compromise	retraction	Retraction of lamellipodia	6.35E-03	 	 	 	 	RDX	1	
Endocrine System Disorders, Gastrointestinal Disease, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	transitory neonatal diabetes	Transitory neonatal diabetes	6.35E-03	 	 	 	 	ZFP57	1	
Gene Expression	transcription	Transcription of DNA	6.48E-03	 	 	 	 	HIST1H1D,EBF1,RUNX1,SUB1,CXXC1,H2AFY2,ZFP57,DUSP22,JMJD1C	9	
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	rheumatoid arthritis	Rheumatoid arthritis	6.75E-03	 	 	 	 	TNFSF13B,C6orf15,TAP2,PTPRN2,STEAP4,JMJD1C	6	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of lymphoid organ	7.00E-03	 	 	 	 	HIST1H1D,TNFSF13B,RUNX1,CASP8	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of antigen presenting cells	7.58E-03	 	 	 	 	EBF1,RUNX1,CASP8	3	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	expansion	Expansion of hematopoietic progenitor cells	7.90E-03	 	 	 	 	EBF1,RUNX1	2	
Hematological System Development and Function, Hematopoiesis, Tissue Development	accumulation	Accumulation of red blood cells	7.94E-03	 	 	 	 	CASP8	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of Hodgkin and Reed-Sternberg cells	7.94E-03	 	 	 	 	CASP8	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	atypical adenomatous lung hyperplasia	Atypical adenomatous lung hyperplasia	7.94E-03	 	 	 	 	CASP8	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response	co-stimulation	Co-stimulation of B lymphocytes	7.94E-03	 	 	 	 	TNFSF13B	1	
Cell Death and Survival	apoptosis	Delay in apoptosis of lymphoma cell lines	7.94E-03	 	 	 	 	RUNX1	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	dephosphorylation	Dephosphorylation of phosphatidylinositol 3,4-diphosphate	7.94E-03	 	 	 	 	PTPRN2	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	dephosphorylation	Dephosphorylation of phosphatidylinositol 4,5-diphosphate	7.94E-03	 	 	 	 	PTPRN2	1	
Cell Morphology, Cellular Compromise, DNA Replication, Recombination, and Repair	mutagenesis	Mutagenesis of fibroblast cell lines	7.94E-03	 	 	 	 	CASP8	1	
Organismal Functions	oxygenation	Oxygenation	7.94E-03	 	 	 	 	CASP8	1	
Behavior	Pavlovian learning	Pavlovian learning	7.94E-03	 	 	 	 	PTPRN2	1	
Neurological Disease, Organismal Injury and Abnormalities	pharmacologically induced seizure	Pharmacologically induced seizure	7.94E-03	 	 	 	 	PTPRN2	1	
Embryonic Development	survival	Survival of embryo	7.94E-03	 	 	 	 	CLNS1A	1	
Inflammatory Response	T-cell-independent type-2 extrafollicular antibody response	T-cell-independent type-2 extrafollicular antibody response	7.94E-03	 	 	 	 	TNFSF13B	1	
Cellular Development, Cellular Growth and Proliferation	proliferation	Proliferation of leukemia cell lines	7.99E-03	 	 	 	 	PRKAR2B,RUNX1,CASP8	3	
Cell Death and Survival	cell viability	Cell viability of leukemia cell lines	8.09E-03	 	 	 	 	TNFSF13B,JMJD1C	2	
Cell Death and Survival	apoptosis	Apoptosis of myeloma cell lines	8.46E-03	 	 	 	 	TNFSF13B,CASP8	2	
DNA Replication, Recombination, and Repair	damage	DNA damage	8.51E-03	 	 	 	 	EBF1,RUNX1,CASP8	3	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of D-glucose	8.51E-03	 	 	 	 	TNFSF13B,EBF1,STEAP4	3	
Cardiovascular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Tissue Development	formation	Formation of coronary vessel	8.64E-03	 	 	 	 	ADAMTS6,RUNX1	2	
Cell Signaling, Post-Translational Modification, Protein Synthesis	assembly	Assembly of protein-protein complex	8.69E-03	 	 	 	 	SPP2,TAP2,RDX	3	
DNA Replication, Recombination, and Repair, Nucleic Acid Metabolism, Small Molecule Biochemistry	incorporation	Incorporation of thymidine	9.03E-03	 	 	 	 	TNFSF13B,PRKAR2B	2	
Cell Death and Survival	killing	Killing of cells	9.05E-03	 	 	 	 	TNFSF13B,RUNX1,CASP8	3	
Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of marginal-zone B lymphocytes	9.42E-03	 	 	 	 	TNFSF13B,CASP8	2	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of enlarged cervical lymph node	9.52E-03	 	 	 	 	CASP8	1	
Cellular Growth and Proliferation, Reproductive System Development and Function	colony formation	Colony formation of gonadal cell lines	9.52E-03	 	 	 	 	RUNX1	1	
Cellular Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response	commitment	Commitment of B lymphocytes	9.52E-03	 	 	 	 	EBF1	1	
Cell-To-Cell Signaling and Interaction, Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	excretion	Excretion of norepinephrine	9.52E-03	 	 	 	 	PTPRN2	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	expansion	Expansion of LSK cells	9.52E-03	 	 	 	 	RUNX1	1	
Molecular Transport	import	Import of Cu2+	9.52E-03	 	 	 	 	STEAP4	1	
DNA Replication, Recombination, and Repair	incorporation	Incorporation of DNA	9.52E-03	 	 	 	 	PRKAR2B	1	
Cell Death and Survival	necrosis	Necrosis of bone marrow-derived macrophages	9.52E-03	 	 	 	 	CASP8	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	osteopenia	Osteopenia of tibia	9.52E-03	 	 	 	 	EBF1	1	
Infectious Diseases	plague	Plague	9.52E-03	 	 	 	 	CASP8	1	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	spongiosis	Spongiosis	9.52E-03	 	 	 	 	CASP8	1	
Metabolic Disease	glucose metabolism disorder	Glucose metabolism disorder	9.65E-03	 	 	 	 	TNFSF13B,C6orf15,ADAMTS6,TAP2,EBF1,ZFP57,STEAP4,CASP8	8	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of enlarged lymph node	1.08E-02	 	 	 	 	TNFSF13B,CASP8	2	
Cell Death and Survival	cell viability	Cell viability	1.09E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1,CLNS1A,PTPRN2,DUSP22,CASP8,JMJD1C	8	
DNA Replication, Recombination, and Repair	condensation	Condensation of DNA	1.11E-02	 	 	 	 	CASP8	1	
Auditory Disease, Organismal Injury and Abnormalities	edema	Edema of ear	1.11E-02	 	 	 	 	CASP8	1	
Cell Cycle, Hematological System Development and Function, Humoral Immune Response	cell cycle progression	Entry into cell cycle progression of B lymphocytes	1.11E-02	 	 	 	 	TNFSF13B	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	malignant glioma	Grade 3 malignant glioma	1.11E-02	 	 	 	 	ACTN1	1	
Cellular Assembly and Organization	movement	Movement of filopodia	1.11E-02	 	 	 	 	RDX	1	
Cellular Compromise	permeability transition	Permeability transition of mitochondrial membrane	1.11E-02	 	 	 	 	CASP8	1	
Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of promegakaryocytes	1.11E-02	 	 	 	 	RUNX1	1	
Cellular Function and Maintenance	regulation	Regulation of hematopoietic progenitor cells	1.11E-02	 	 	 	 	RUNX1	1	
Organismal Development	size	Size of body	1.16E-02	 	 	 	 	HIST1H1D,C6orf15,PRKAR2B,EBF1,RUNX1,H2AFY2	6	
Cell Death and Survival	killing	Killing of tumor cell lines	1.26E-02	 	 	 	 	RUNX1,CASP8	2	
Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of lateral ganglionic eminences	1.27E-02	 	 	 	 	EBF1	1	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of neuroblastoma cell lines	1.27E-02	 	 	 	 	CASP8	1	
Cellular Growth and Proliferation	growth	Arrest in growth of bone marrow cell lines	1.27E-02	 	 	 	 	RUNX1	1	
Cell Death and Survival, Embryonic Development	cell death	Cell death of embryo	1.27E-02	 	 	 	 	CASP8	1	
Cell Death and Survival, Embryonic Development	cell viability	Cell viability of embryonic stem cell lines	1.27E-02	 	 	 	 	CLNS1A	1	
Cellular Development, Embryonic Development, Organismal Development	differentiation	Differentiation of embryoid body cells	1.27E-02	 	 	 	 	RUNX1	1	
Hematological Disease	exhaustion	Exhaustion of hematopoietic progenitor cells	1.27E-02	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development	expansion	Expansion of pre-B lymphocytes	1.27E-02	 	 	 	 	EBF1	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	high grade glioma	Grade 4 high grade glioma	1.27E-02	 	 	 	 	ACTN1	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities	hemoperitoneum	Hemoperitoneum	1.27E-02	 	 	 	 	RUNX1	1	
Neurological Disease	amyotrophic lateral sclerosis	Preclinical stage amyotrophic lateral sclerosis	1.27E-02	 	 	 	 	CASP8	1	
Cancer, Organismal Injury and Abnormalities, Tissue Morphology	quantity	Quantity of sarcoma	1.27E-02	 	 	 	 	RUNX1	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of CD8+ T lymphocyte	1.27E-02	 	 	 	 	CASP8	1	
Developmental Disorder	dysmorphogenesis	Dysmorphogenesis	1.28E-02	 	 	 	 	HIST1H1D,CXXC1	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	precursor B-cell acute lymphoblastic leukemia	Precursor B-cell acute lymphoblastic leukemia	1.37E-02	 	 	 	 	EBF1,RUNX1	2	
Developmental Disorder, Embryonic Development, Tissue Morphology	abnormal morphology	Abnormal morphology of yolk sac	1.39E-02	 	 	 	 	HIST1H1D,CASP8	2	
Cell Death and Survival, Organismal Injury and Abnormalities	apoptosis	Apoptosis of vascular endothelial cells	1.39E-02	 	 	 	 	RDX,CASP8	2	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of actin filaments	1.39E-02	 	 	 	 	ACTN1,RDX	2	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	oral tumor	Oral tumor	1.41E-02	 	 	 	 	ATP13A3,ADAMTS6,EBF1,WDR20,DUSP22,STEAP4,CASP8	7	
Gastrointestinal Disease, Organismal Injury and Abnormalities	bleeding	Bleeding of rectum	1.42E-02	 	 	 	 	NLRP6	1	
Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities, Tissue Morphology	degeneration	Degeneration of retinal pigment epithelium	1.42E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	killing	Killing of Streptococcus pneumoniae	1.42E-02	 	 	 	 	TNFSF13B	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	leukemic transformation of myelofibrosis	Leukemic transformation of myelofibrosis	1.42E-02	 	 	 	 	RUNX1	1	
Nervous System Development and Function, Organ Morphology, Organismal Development	size	Size of striatum	1.42E-02	 	 	 	 	EBF1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Tissue Development	development	Development of hematopoietic progenitor cells	1.43E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1	3	
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	quantity	Quantity of hematopoietic progenitor cells	1.48E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1,CASP8	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	proliferation	Proliferation of hematopoietic progenitor cells	1.52E-02	 	 	 	 	EBF1,RUNX1,JMJD1C	3	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of sphingolipid	1.56E-02	 	 	 	 	RUNX1,CASP8	2	
Cell Signaling, Post-Translational Modification, Protein Synthesis	actin capping	Actin capping of filament barbed ends	1.58E-02	 	 	 	 	RDX	1	
Cellular Assembly and Organization	clustering	Clustering of membrane rafts	1.58E-02	 	 	 	 	CASP8	1	
Gastrointestinal Disease, Organismal Injury and Abnormalities	edema	Edema of intestine	1.58E-02	 	 	 	 	NLRP6	1	
Cell Morphology, Hematological Disease, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of B-1 lymphocytes	1.58E-02	 	 	 	 	EBF1	1	
Ophthalmic Disease, Organismal Injury and Abnormalities	nonexudative age-related macular degeneration	Nonexudative age-related macular degeneration	1.58E-02	 	 	 	 	CASP8	1	
Cellular Assembly and Organization, DNA Replication, Recombination, and Repair	positioning	Positioning of nucleosomes	1.58E-02	 	 	 	 	HIST1H1D	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of myeloid leukocytes	1.61E-02	 	 	 	 	DHRS7B,RUNX1,CASP8	3	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	cecum adenocarcinoma	Cecum adenocarcinoma	1.66E-02	 	 	 	 	ATP13A3,TAP2,MXRA8,STEAP4	4	
Cellular Development, Embryonic Development, Organismal Development	differentiation	Differentiation of embryonic stem cells	1.71E-02	 	 	 	 	RUNX1,H2AFY2	2	
Nervous System Development and Function, Neurological Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of internal capsule	1.74E-02	 	 	 	 	EBF1	1	
Cancer, Cell-To-Cell Signaling and Interaction, Organismal Injury and Abnormalities	activation	Activation of chronic lymphocytic leukemia cells	1.74E-02	 	 	 	 	TNFSF13B	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	apoptosis	Apoptosis of chronic lymphocytic leukemia B cells	1.74E-02	 	 	 	 	TNFSF13B	1	
Cell Death and Survival	cell death	Cell death of hair cells	1.74E-02	 	 	 	 	CASP8	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	commitment	Commitment of T lymphocytes	1.74E-02	 	 	 	 	EBF1	1	
Cardiovascular Disease, Organismal Injury and Abnormalities	degeneration	Degeneration of vasculature	1.74E-02	 	 	 	 	CASP8	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	formation	Formation of pore	1.74E-02	 	 	 	 	CASP8	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	astrocytoma	Grade 3 astrocytoma	1.74E-02	 	 	 	 	ACTN1	1	
Connective Tissue Development and Function, Lipid Metabolism, Small Molecule Biochemistry, Tissue Morphology	lipolysis	Lipolysis of white adipose tissue	1.74E-02	 	 	 	 	PRKAR2B	1	
Cell Death and Survival, Hematological System Development and Function	survival	Survival of CD4+ T-lymphocytes	1.74E-02	 	 	 	 	CASP8	1	
Metabolic Disease	DNA repair-deficiency disorder	DNA repair-deficiency disorder	1.82E-02	 	 	 	 	TAP2,RUNX1	2	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of vitelline vessel	1.84E-02	 	 	 	 	HIST1H1D,CASP8	2	
Cell Cycle, Gene Expression	binding	Binding of protein binding site	1.88E-02	 	 	 	 	EBF1,RUNX1,SUB1	3	
Cell Death and Survival	apoptosis	Apoptosis of leukemia cell lines	1.89E-02	 	 	 	 	TNFSF13B,RUNX1,CASP8	3	
Cardiovascular System Development and Function, Organ Development	activation	Activation of heart	1.89E-02	 	 	 	 	CASP8	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of plasmacytoid dendritic cells	1.89E-02	 	 	 	 	CASP8	1	
Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	colony formation	Colony formation of erythroid cells	1.89E-02	 	 	 	 	RUNX1	1	
Cell Cycle, Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	contact growth inhibition	Contact growth inhibition of leukemia cell lines	1.89E-02	 	 	 	 	PRKAR2B	1	
Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease	diminished ovarian reserve	Diminished ovarian reserve	1.89E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	necroptosis	Necroptosis of fibroblasts	1.89E-02	 	 	 	 	CASP8	1	
Gene Expression	activation	Activation of DNA endogenous promoter	1.90E-02	 	 	 	 	HIST1H1D,EBF1,RUNX1,SUB1,H2AFY2,ZFP57,DUSP22	7	
Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of pre-B lymphocytes	1.95E-02	 	 	 	 	TNFSF13B,EBF1	2	
Organismal Survival	organismal death	Organismal death	2.02E-02	 	 	 	 	HIST1H1D,TNFSF13B,EBF1,RUNX1,CLNS1A,CXXC1,NLRP6,H2AFY2,ZFP57,PTPRN2,CASP8	11	
Cell Death and Survival	apoptosis	Apoptosis of plasmacytoid dendritic cells	2.05E-02	 	 	 	 	CASP8	1	
Cellular Development, Nervous System Development and Function, Tissue Development, Visual System Development and Function	differentiation	Differentiation of amacrine cells	2.05E-02	 	 	 	 	EBF1	1	
Connective Tissue Development and Function, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of tibia	2.05E-02	 	 	 	 	EBF1	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	malignant glioma	Grade 4 malignant glioma	2.05E-02	 	 	 	 	ACTN1	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	grade II astrocytoma	Grade II astrocytoma	2.05E-02	 	 	 	 	ACTN1	1	
Lipid Metabolism, Small Molecule Biochemistry	hydrolysis	Hydrolysis of ceramide	2.05E-02	 	 	 	 	CASP8	1	
Tissue Morphology	quantity	Quantity of bone marrow cell lines	2.05E-02	 	 	 	 	RUNX1	1	
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	quantity	Quantity of long-term hematopoietic stem cells	2.05E-02	 	 	 	 	RUNX1	1	
Protein Synthesis	quantity	Quantity of leptin in blood	2.06E-02	 	 	 	 	PRKAR2B,STEAP4	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development	proliferation	Proliferation of B lymphocytes	2.13E-02	 	 	 	 	TNFSF13B,EBF1,CASP8	3	
Post-Translational Modification	dephosphorylation	Dephosphorylation of protein	2.20E-02	 	 	 	 	PTPRN2,DUSP22	2	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of lymph node b cell domain	2.21E-02	 	 	 	 	TNFSF13B	1	
Cellular Development, Connective Tissue Development and Function, Embryonic Development	adipogenesis	Adipogenesis of embryonic cell lines	2.21E-02	 	 	 	 	EBF1	1	
Neurological Disease	catalepsy	Catalepsy	2.21E-02	 	 	 	 	PRKAR2B	1	
Embryonic Development, Organ Development, Organismal Development, Reproductive System Development and Function, Tissue Development	formation	Formation of corpus luteum	2.21E-02	 	 	 	 	PTPRN2	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	lymphopoiesis	Lymphopoiesis of B lymphocytes	2.21E-02	 	 	 	 	EBF1	1	
Cell Morphology, Nervous System Development and Function, Tissue Morphology	size	Size of growth cone	2.21E-02	 	 	 	 	RDX	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of osteoclasts	2.23E-02	 	 	 	 	EBF1,RUNX1	2	
Cellular Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development	maturation	Maturation of lymphocytes	2.29E-02	 	 	 	 	TNFSF13B,RUNX1	2	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of axillary lymph node	2.36E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	apoptosis	Apoptosis of adipocytes	2.36E-02	 	 	 	 	CASP8	1	
Cell Death and Survival	apoptosis	Apoptosis of testicular cells	2.36E-02	 	 	 	 	CASP8	1	
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of RPE cells	2.36E-02	 	 	 	 	CASP8	1	
Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	colony formation	Colony formation of colony-forming erythroid cells	2.36E-02	 	 	 	 	RUNX1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of common lymphoid progenitor cells	2.36E-02	 	 	 	 	EBF1	1	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	dryness	Dryness of skin	2.36E-02	 	 	 	 	CASP8	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	post-myeloproliferative neoplasm-acute myeloid leukemia	Post-myeloproliferative neoplasm-acute myeloid leukemia	2.36E-02	 	 	 	 	RUNX1	1	
Reproductive System Development and Function	premature senescence	Premature senescence of reproductive system	2.36E-02	 	 	 	 	JMJD1C	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response	production	Production of B lymphocytes	2.36E-02	 	 	 	 	RUNX1	1	
Cardiovascular Disease, Connective Tissue Disorders, Hematological Disease, Organismal Injury and Abnormalities	thrombocytopenia	Severe thrombocytopenia	2.36E-02	 	 	 	 	RUNX1	1	
Cell Death and Survival	apoptosis	Apoptosis of thymocytes	2.37E-02	 	 	 	 	RUNX1,CASP8	2	
Gastrointestinal Disease, Hepatic System Disease, Metabolic Disease, Organismal Injury and Abnormalities	hepatic steatosis	Hepatic steatosis	2.40E-02	 	 	 	 	PRKAR2B,EBF1,STEAP4	3	
Cell Death and Survival	apoptosis	Apoptosis of B lymphocytes	2.40E-02	 	 	 	 	TNFSF13B,CASP8	2	
Cell Cycle, Gene Expression	binding	Binding of DNA	2.50E-02	 	 	 	 	TNFSF13B,EBF1,RUNX1,SUB1	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	expansion	Expansion of myeloid progenitor cells	2.52E-02	 	 	 	 	RUNX1	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	localization	Localization of mitochondria	2.52E-02	 	 	 	 	CASP8	1	
Lipid Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of 12-hydroxyeicosatetraenoic acid	2.52E-02	 	 	 	 	RUNX1	1	
Cellular Function and Maintenance	vesiculation	Vesiculation	2.52E-02	 	 	 	 	CASP8	1	
Cardiovascular System Development and Function, Cell Morphology, Embryonic Development	branching morphogenesis	Branching morphogenesis of vasculature	2.67E-02	 	 	 	 	RUNX1	1	
Cellular Compromise	depletion	Depletion of B lymphocytes	2.67E-02	 	 	 	 	TNFSF13B	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of B-1 lymphocytes	2.67E-02	 	 	 	 	EBF1	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	astrocytoma	Grade 4 astrocytoma	2.67E-02	 	 	 	 	ACTN1	1	
Lipid Metabolism, Small Molecule Biochemistry	hydrolysis	Hydrolysis of sphingomyelin	2.67E-02	 	 	 	 	CASP8	1	
Gastrointestinal Disease, Inflammatory Disease, Organismal Injury and Abnormalities	periodontitis	Periodontitis	2.67E-02	 	 	 	 	TNFSF13B	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of C24:1-ceramide	2.67E-02	 	 	 	 	RUNX1	1	
