© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RGL2	other	 	 	 	 	 	2.82E-02	RALB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RPRD1A	other	 	 	 	 	 	2.82E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SIGMAR1	transmembrane receptor	 	 	 	 	 	2.82E-02	KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	XPO5	transporter	 	 	 	 	 	2.82E-02	DICER1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ganglioside GQ1B	chemical - endogenous mammalian	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	goserelin	biologic drug	 	 	 	 	 	2.82E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-378a-3p (and other miRNAs w/seed CUGGACU)	mature microrna	 	 	 	 	 	2.82E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-128	microrna	 	 	 	 	 	2.82E-02	BAG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	pentamidine	chemical drug	 	 	 	 	 	2.82E-02	KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ramatroban	chemical drug	 	 	 	 	 	2.82E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	pioglitazone	chemical drug	 	 	 	 	 	2.82E-02	FBP1,IL4,KRT19,LPIN1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	anandamide	chemical - endogenous mammalian	 	 	 	 	 	2.85E-02	IL4,NCSTN	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL22	cytokine	 	 	 	 	 	2.88E-02	IL4,RBL2,TFF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	desmopressin	biologic drug	 	 	 	 	 	2.88E-02	ADCY3,KIF26A,YWHAQ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	dextran sulfate	chemical drug	 	 	 	 	 	2.88E-02	ENG,IGF1R,IL4,STEAP3,TFF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	AGN194204	chemical drug	 	 	 	 	 	2.94E-02	BNIP3L,CSRP1,HK2,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CDK2	kinase	 	 	 	 	 	3.00E-02	PCYT1A,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL9	cytokine	 	 	 	 	 	3.00E-02	IL4,IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL33	cytokine	 	 	 	 	 	3.05E-02	EPX,IL4,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RELA	transcription regulator	 	 	 	 	 	3.10E-02	BNIP3L,CITED2,CTSB,EHF,IGF1R,IL4,TANK	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	nitrofurantoin	chemical drug	 	 	 	 	 	3.11E-02	CTSB,ITIH4,KRT19,PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TFEB	transcription regulator	 	 	 	 	 	3.14E-02	CTSB,HEXA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	DMRT1	transcription regulator	 	 	 	 	 	3.21E-02	EPX,IGF1R,PRG2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CEACAM1	transporter	 	 	 	 	 	3.29E-02	ANGPT2,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZEB2	transcription regulator	 	 	 	 	 	3.29E-02	KRT19,MS4A2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	roscovitine	chemical drug	 	 	 	 	 	3.29E-02	PCYT1A,RALB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SIRT1	transcription regulator	 	 	 	 	 	3.35E-02	IGF1R,IL4,KIF5C,MED27,SHANK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TNFSF10	cytokine	 	 	 	 	 	3.38E-02	ANGPT2,CTSB,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	WNT3A	cytokine	 	 	 	 	 	3.40E-02	DDIT4,ENG,MITF,PMP22,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ID2	transcription regulator	 	 	 	 	 	3.41E-02	IKZF3,IL4,IRF6,RPS6KA2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	2-4-6-trinitrophenyl-lipopolysaccharide	chemical toxicant	 	 	 	 	 	3.51E-02	IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ADAM8	peptidase	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CADM1	other	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CCL15	cytokine	 	 	 	 	 	3.51E-02	EPX	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CEBPZ	transcription regulator	 	 	 	 	 	3.51E-02	HSPA7	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IgD	complex	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	JV-1-65 hGHRH(1-29)NH2	chemical reagent	 	 	 	 	 	3.51E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	MNK1/2	group	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PDE4D	enzyme	 	 	 	 	 	3.51E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RAB4A	enzyme	 	 	 	 	 	3.51E-02	KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RIDA	enzyme	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RIPK4	kinase	 	 	 	 	 	3.51E-02	IRF6	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SNCG	other	 	 	 	 	 	3.51E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	STK17B	kinase	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TRA2B	other	 	 	 	 	 	3.51E-02	LPIN1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Trbv13-1	other	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	W146	chemical reagent	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	decanoic acid	chemical - endogenous mammalian	 	 	 	 	 	3.51E-02	ACP5	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	etidronic acid	chemical drug	 	 	 	 	 	3.51E-02	ACP5	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ganglioside GD1b	chemical - endogenous mammalian	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	harmol	chemical - endogenous non-mammalian	 	 	 	 	 	3.51E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	hypochlorous acid	chemical drug	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-431-3p (miRNAs w/seed AGGUCGU)	mature microrna	 	 	 	 	 	3.51E-02	DICER1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-503	microrna	 	 	 	 	 	3.51E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ranitidine	chemical drug	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	terfenadine	chemical drug	 	 	 	 	 	3.51E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	tyrphostin 25	chemical - kinase inhibitor	 	 	 	 	 	3.51E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ionomycin	chemical reagent	 	 	 	 	 	3.54E-02	IL4,NDFIP2,PRKCZ,TLE4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	baicalein	chemical - endogenous non-mammalian	 	 	 	 	 	3.60E-02	IGF1R,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ESRRA	ligand-dependent nuclear receptor	 	 	 	 	 	3.67E-02	HK2,IKZF3,KRT19,NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	BRCA1	transcription regulator	 	 	 	 	 	3.73E-02	DDIT4,IGF1R,LPIN1,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CD3 group	group	 	 	 	 	 	3.76E-02	IL4,LPCAT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	azoxymethane	chemical toxicant	 	 	 	 	 	3.76E-02	IGF1R,PRKCZ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	bicalutamide	chemical drug	 	 	 	 	 	3.76E-02	DDIT4,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	mir-133	microrna	 	 	 	 	 	3.76E-02	IGF1R,KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	methylprednisolone	chemical drug	 	 	 	 	 	3.80E-02	CITED2,DDIT4,KRT19,NFIA,NR0B2,PCYT1A,PPP2CA,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ID3	transcription regulator	 	 	 	 	 	3.93E-02	IKZF3,IL4,IRF6,RPS6KA2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PPRC1	transcription regulator	 	 	 	 	 	4.09E-02	DDIT4,HK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZMPSTE24	peptidase	 	 	 	 	 	4.09E-02	DDIT4,IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	13-hydroxyoctadecadienoic acid	chemical - endogenous mammalian	 	 	 	 	 	4.20E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	2-morpholin-4-yl-6-thianthren-1-yl-pyran-4-one	chemical reagent	 	 	 	 	 	4.20E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CALCB	other	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CPXM1	peptidase	 	 	 	 	 	4.20E-02	COL15A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Cr3	complex	 	 	 	 	 	4.20E-02	FOXP1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Cxcl9	cytokine	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	DUSP10	phosphatase	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GSK690693	chemical drug	 	 	 	 	 	4.20E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HOXD8	transcription regulator	 	 	 	 	 	4.20E-02	ANGPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Hrg	other	 	 	 	 	 	4.20E-02	ANGPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL12RB1	transmembrane receptor	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL22RA2	transmembrane receptor	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	INPPL1	phosphatase	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Nfatc	group	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	P glycoprotein	group	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SDC4	other	 	 	 	 	 	4.20E-02	ANGPT2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SOST	other	 	 	 	 	 	4.20E-02	ACP5	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SSPN	other	 	 	 	 	 	4.20E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	Trbv13-2	other	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	UBASH3A	enzyme	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	VAV	group	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	WIF1	other	 	 	 	 	 	4.20E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	aurintricarboxylic acid	chemical drug	 	 	 	 	 	4.20E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	dimethyl sulfone	chemical drug	 	 	 	 	 	4.20E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	histidinol	chemical - endogenous mammalian	 	 	 	 	 	4.20E-02	SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-139-5p (miRNAs w/seed CUACAGU)	mature microrna	 	 	 	 	 	4.20E-02	IGF1R	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-219a-5p (and other miRNAs w/seed GAUUGUC)	mature microrna	 	 	 	 	 	4.20E-02	ELOVL7	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	olomoucine	chemical - kinase inhibitor	 	 	 	 	 	4.20E-02	PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	palmitoylethanolamide	chemical drug	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	penicillamine	chemical drug	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	praziquantel	chemical drug	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	proteoglycan	chemical - other	 	 	 	 	 	4.20E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	sevelamer	chemical drug	 	 	 	 	 	4.20E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	topotecan	chemical drug	 	 	 	 	 	4.21E-02	CITED2,ENG,NFIA,TANK	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FYN	kinase	 	 	 	 	 	4.25E-02	IL4,IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ERBB2	kinase	 	 	 	 	 	4.30E-02	BAG2,CTSB,CYB561,DAP,EHF,IGF1R,IRF6,MITF,RALB,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TNF	cytokine	 	 	 	 	 	4.32E-02	ACP5,ANGPT2,CITED2,COL15A1,CTSB,EHF,ENG,GPR176,HEXA,HK2,IGF1R,IL4,KCNH2,LRIG1,NCK1,NR0B2,PCYT1A,RNASE2,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RUNX1	transcription regulator	 	 	 	 	 	4.35E-02	CYB561,ENG,IL4,SHANK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	valproic acid	chemical drug	 	 	 	 	 	4.38E-02	BAG2,CTSB,DICER1,IGF1R,IL4,NR0B2,PRKCZ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GRB2	kinase	 	 	 	 	 	4.42E-02	IRF6,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	SP1	transcription regulator	 	 	 	 	 	4.47E-02	BNIP3L,CITED2,ENG,HK2,IGF1R,KRT19,PCYT1A,SLC7A1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HMOX1	enzyme	 	 	 	 	 	4.50E-02	ANGPT2,CS,ENG	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	chemical - kinase inhibitor	 	 	 	 	 	4.59E-02	KCNH2,LPIN1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	GSK3B	kinase	 	 	 	 	 	4.60E-02	IGF1R,KIF3B,PMP22	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HOXA3	transcription regulator	 	 	 	 	 	4.76E-02	ENG,SHANK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RGS10	other	 	 	 	 	 	4.76E-02	IL4,IL5RA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZEB1	transcription regulator	 	 	 	 	 	4.76E-02	KRT19,RBL2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	guanidinopropionic acid	chemical - endogenous non-mammalian	 	 	 	 	 	4.76E-02	ATP2C1,ATPAF2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	IL1B	cytokine	 	 	 	 	 	4.82E-02	CTSB,DDIT4,EHF,ENG,HEXA,HK2,KCNH2,KRT19,NR0B2,SLC25A25,SLC2A9	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CTSE	peptidase	 	 	 	 	 	4.88E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	CXCL16	cytokine	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	DEFB4A/DEFB4B	other	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HDAC10	transcription regulator	 	 	 	 	 	4.88E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	HSP	group	 	 	 	 	 	4.88E-02	KCNH2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	KLB	enzyme	 	 	 	 	 	4.88E-02	NR0B2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	LRP2	transporter	 	 	 	 	 	4.88E-02	CTSB	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	LTC4S	enzyme	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	OXTR	g-protein coupled receptor	 	 	 	 	 	4.88E-02	PRKCZ	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	PDK1	kinase	 	 	 	 	 	4.88E-02	HK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	RASGRP4	other	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TARBP2	other	 	 	 	 	 	4.88E-02	DICER1	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TIMD4	other	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TNFRSF10B	transmembrane receptor	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TPSD1	peptidase	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	TRPA1	transporter	 	 	 	 	 	4.88E-02	IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ZNF423	transcription regulator	 	 	 	 	 	4.88E-02	ADCY3	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	glucosylceramide	chemical - endogenous mammalian	 	 	 	 	 	4.88E-02	PCYT1A	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-126a-5p (and other miRNAs w/seed AUUAUUA)	mature microrna	 	 	 	 	 	4.88E-02	MITF	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	miR-138-5p (miRNAs w/seed GCUGGUG)	mature microrna	 	 	 	 	 	4.88E-02	KRT19	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NR3C2	ligand-dependent nuclear receptor	 	 	 	 	 	4.91E-02	DDIT4,IGF1R,NFIA	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ADRB2	g-protein coupled receptor	 	 	 	 	 	4.94E-02	ANGPT2,HK2	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	ATG7	enzyme	 	 	 	 	 	4.94E-02	CTSB,IL4	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	NRL	transcription regulator	 	 	 	 	 	4.94E-02	IGF1R,PDE6H	 	
OlderChildren-Combined - 2017-12-07 12:37 PM	 	FOXA2	transcription regulator	 	 	 	 	 	4.94E-02	EPX,HK2,IL4,RNASE2	 	

Causal Networks for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM

Diseases and Bio Functions for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of basophils	9.24E-08	 	 	 	 	PRG2,PTGDR2,IL4,EPX,PRG3	5	
Carbohydrate Metabolism	glycolysis	Glycolysis of cells	8.30E-07	 	 	 	 	IGF1R,RPTOR,IL4,DDIT4,FBP1,PGAM2,HK2,CITED2,GPI	9	
Cell Death and Survival, Organismal Injury and Abnormalities	cell death	Cell death of epithelial cells	6.48E-06	 	 	 	 	PRG2,ITIH4,YWHAQ,RBL2,BNIP3L,IL4,ENG,MITF,CITED2,NR0B2,IGF1R,DICER1,CTSB,EPX,HK2,PMP22,PPP2CA	17	
Cell Death and Survival, Organismal Injury and Abnormalities	necrosis	Necrosis of epithelial tissue	2.03E-05	 	 	 	 	PRG2,ITIH4,YWHAQ,ANGPT2,RBL2,BNIP3L,IL4,ENG,MITF,CITED2,NR0B2,IGF1R,DICER1,CTSB,EPX,HK2,PMP22,PPP2CA	18	
Cell Death and Survival	necrosis	Necrosis	2.66E-05	 	 	 	 	DAPK2,RBL2,BNIP3L,EHF,MITF,RALB,LRIG1,DICER1,ATP2C1,EMG1,PRKCH,NCK1,TLE4,GPI,DDIT4,ENG,CITED2,IGF1R,RPTOR,RPS6KA2,CS,PPT2,YWHAQ,SIGLEC8,FOXP1,RHOBTB2,NAPA,IKZF3,MS4A2,STEAP3,STX1B,EPX,PRKCZ,HK2,ST3GAL1,TLDC2,PMP22,PPP2CA,PRG2,ITIH4,TANK,PTGDR2,ANGPT2,IL4,IL5RA,NR0B2,CTSB,FOXK2,RNASE2	49	
Cell Morphology, Hematological System Development and Function, Hypersensitivity Response, Immunological Disease	abnormal morphology	Abnormal morphology of eosinophils	4.90E-05	 	 	 	 	PRG2,EPX	2	
Cellular Development	differentiation	Differentiation of tumor cell lines	5.28E-05	 	 	 	 	FOXP1,RBL2,IL4,IGF1R,TRAPPC9,DICER1,PCYT1A,ATP2C1,MCC,PRKCH,PRKCZ,NCK1,RNASE2	13	
Cell Morphology, Cellular Function and Maintenance	autophagy	Autophagy of tumor cell lines	6.78E-05	 	 	 	 	KIF5C,YWHAQ,RPTOR,DICER1,BNIP3L,DDIT4,MITF,CATSPER4	8	
Cell Morphology, Cellular Function and Maintenance	autophagy	Autophagy	6.87E-05	 	 	 	 	DAPK2,KIF5C,YWHAQ,SOGA1,BNIP3L,DAP,DDIT4,ENG,MITF,CATSPER4,CLEC12A,IGF1R,RPTOR,DICER1	14	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development	proliferation	Proliferation of B lymphocytes	6.97E-05	 	 	 	 	TANK,LPIN1,RPTOR,DICER1,PCYT1A,RBL2,IL4,IL5RA,IKZF3,PRKCZ,BANK1	11	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	activation	Activation of myeloid cells	7.00E-05	 	 	 	 	IRF6,PRG2,PTGDR2,SIGLEC8,ANGPT2,FOXP1,TFF2,IL4,IL5RA,METRNL,EPX,PRG3	12	
Hematological Disease, Immunological Disease	eosinophilia	Eosinophilia of tissue	7.13E-05	 	 	 	 	PTGDR2,SIGLEC8,IL4	3	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	release	Release of leukotriene	1.16E-04	 	 	 	 	PRG2,IL4,PRG3,MS4A2	4	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	release	Release of eicosanoid	1.45E-04	 	 	 	 	IGF1R,PRG2,LPIN1,CTSB,IL4,PRG3,MS4A2	7	
Cellular Function and Maintenance	homeostasis	Cellular homeostasis	1.94E-04	 	 	 	 	ZFPM1,DAPK2,YWHAQ,FOXP1,SOGA1,RBL2,BNIP3L,SLC25A33,MITF,MS4A2,KCNH2,DICER1,ATP2C1,PRKCH,PRKCZ,GPI,PPP2CA,KIF5C,ANGPT2,SLC25A25,SLC8B1,DAP,DDIT4,IL4,IL5RA,ENG,CATSPER4,CLEC12A,NR0B2,IGF1R,NCSTN,RPTOR	32	
Cell Morphology	morphology	Morphology of blood cells	2.23E-04	 	 	 	 	ZFPM1,PRG2,SLC7A1,BNIP3L,IL4,IL5RA,MITF,RPTOR,STEAP3,PRKCH,EPX,ARID3A,PRKCZ	13	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of granulocytes	2.45E-04	 	 	 	 	PRG2,PTGDR2,IL4,IL5RA,EPX,PRG3	6	
